method,display_name,fold,test_fish,seed,pair_index,pair_id,queries,top1,top5,mrr,hungarian,coverage
cpd,CPD,7,lineage_20170111,,9,lineage_20170111__gap60m__p009,178,0.9662921348314607,1.0,0.9831460674157303,1.0,1.0
cpd,CPD,7,lineage_20170111,,10,lineage_20170111__gap60m__p010,178,0.9831460674157303,1.0,0.9906367041198503,1.0,1.0
cpd,CPD,7,lineage_20170111,,11,lineage_20170111__gap60m__p011,178,0.9775280898876404,1.0,0.9887640449438202,0.9775280898876404,1.0
cpd,CPD,7,lineage_20170111,,12,lineage_20170111__gap60m__p012,178,0.9606741573033708,1.0,0.9803370786516854,0.9775280898876404,1.0
cpd,CPD,7,lineage_20170111,,13,lineage_20170111__gap60m__p013,178,0.9662921348314607,1.0,0.9831460674157303,0.9775280898876404,1.0
cpd,CPD,8,lineage_20170925,,0,lineage_20170925__gap60m__p000,156,0.8397435897435898,1.0,0.9104700854700855,0.9102564102564102,1.0
cpd,CPD,8,lineage_20170925,,1,lineage_20170925__gap60m__p001,156,0.8653846153846154,1.0,0.9273504273504273,0.9230769230769231,1.0
cpd,CPD,8,lineage_20170925,,2,lineage_20170925__gap60m__p002,156,0.8653846153846154,1.0,0.9264957264957265,0.9743589743589743,1.0
cpd,CPD,8,lineage_20170925,,3,lineage_20170925__gap60m__p003,156,0.9423076923076923,1.0,0.9684829059829059,1.0,1.0
cpd,CPD,8,lineage_20170925,,4,lineage_20170925__gap60m__p004,156,0.9358974358974359,1.0,0.9652777777777777,1.0,1.0
cpd,CPD,8,lineage_20170925,,5,lineage_20170925__gap60m__p005,156,0.9487179487179487,1.0,0.9743589743589743,1.0,1.0
cpd,CPD,8,lineage_20170925,,6,lineage_20170925__gap60m__p006,156,0.9423076923076923,1.0,0.9690170940170939,0.9743589743589743,1.0
cpd,CPD,8,lineage_20170925,,7,lineage_20170925__gap60m__p007,156,0.9230769230769231,1.0,0.9553418803418805,0.9358974358974359,1.0
cpd,CPD,8,lineage_20170925,,8,lineage_20170925__gap60m__p008,156,0.9294871794871795,1.0,0.9636752136752136,0.9743589743589743,1.0
cpd,CPD,8,lineage_20170925,,9,lineage_20170925__gap60m__p009,156,0.9551282051282052,1.0,0.9759615384615384,0.9743589743589743,1.0
cpd,CPD,8,lineage_20170925,,10,lineage_20170925__gap60m__p010,156,0.9358974358974359,1.0,0.967948717948718,0.9743589743589743,1.0
cpd,CPD,8,lineage_20170925,,11,lineage_20170925__gap60m__p011,156,0.9358974358974359,1.0,0.967948717948718,0.9743589743589743,1.0
cpd,CPD,8,lineage_20170925,,12,lineage_20170925__gap60m__p012,156,0.9871794871794872,1.0,0.9935897435897436,1.0,1.0
cpd,CPD,8,lineage_20170925,,13,lineage_20170925__gap60m__p013,156,0.9743589743589743,1.0,0.9871794871794872,1.0,1.0
fdnc,fDNC,1,func_20150410,42,0,func_20150410__gap60m__p000,198,0.4898989898989899,0.9444444444444444,0.6701158409491741,0.6161616161616161,1.0
fdnc,fDNC,1,func_20150410,42,1,func_20150410__gap60m__p001,200,0.51,0.96,0.6914007936507935,0.725,1.0
fdnc,fDNC,1,func_20150410,42,2,func_20150410__gap60m__p002,202,0.4603960396039604,0.9405940594059405,0.6511806537796636,0.6732673267326733,1.0
fdnc,fDNC,1,func_20150410,42,3,func_20150410__gap60m__p003,206,0.6019417475728155,0.9902912621359223,0.7634708737864078,0.7427184466019418,1.0
fdnc,fDNC,1,func_20150410,42,4,func_20150410__gap60m__p004,210,0.6428571428571429,1.0,0.7861904761904763,0.7666666666666667,1.0
fdnc,fDNC,1,func_20150410,42,5,func_20150410__gap60m__p005,212,0.8301886792452831,1.0,0.9044811320754719,0.9245283018867925,1.0
fdnc,fDNC,1,func_20150410,42,6,func_20150410__gap60m__p006,218,0.7339449541284404,1.0,0.8551223241590213,0.944954128440367,1.0
