method,kind,severity,fold,perturbation_replicates,top1,top5,hungarian,coverage,effective_top1
CPD,outlier,0.3,0,3,0.30735930735930733,0.7532467532467533,0.3636363636363636,1.0,0.30735930735930733
CPD,outlier,0.3,1,3,0.2116788321167883,0.45012165450121655,0.20924574209245742,1.0,0.2116788321167883
CPD,outlier,0.3,2,3,0.12413793103448274,0.2896551724137931,0.16091954022988506,1.0,0.12413793103448274
CPD,outlier,0.3,3,3,0.41269841269841273,0.8928571428571428,0.4444444444444444,1.0,0.41269841269841273
CPD,outlier,0.3,4,3,0.26190476190476186,0.8690476190476191,0.3333333333333333,1.0,0.26190476190476186
CPD,outlier,0.4,0,3,0.30735930735930733,0.7662337662337663,0.3852813852813853,1.0,0.30735930735930733
CPD,outlier,0.4,1,3,0.2165450121654501,0.462287104622871,0.2214111922141119,1.0,0.2165450121654501
CPD,outlier,0.4,2,3,0.12873563218390804,0.2896551724137931,0.167816091954023,1.0,0.12873563218390804
CPD,outlier,0.4,3,3,0.39285714285714285,0.8849206349206349,0.4444444444444444,1.0,0.39285714285714285
CPD,outlier,0.4,4,3,0.2857142857142857,0.8809523809523809,0.35714285714285715,1.0,0.2857142857142857
CPD,outlier,0.5,0,3,0.2727272727272727,0.7532467532467533,0.367965367965368,1.0,0.2727272727272727
CPD,outlier,0.5,1,3,0.20437956204379562,0.44525547445255476,0.2141119221411192,1.0,0.20437956204379562
CPD,outlier,0.5,2,3,0.12873563218390804,0.29425287356321844,0.16091954022988506,1.0,0.12873563218390804
