setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
log_margin_val_r80,0.2,1,3,0.6633109619686801,0.6263982102908278,0.1442953020134228,0.8390201224846895,0.8813926284992135
log_margin_val_r80,0.2,2,3,0.5897435897435898,0.5484949832775919,0.23411371237458192,0.7370478983382208,0.7821530008650157
log_margin_val_r80,0.2,3,3,0.6509009009009009,0.6261261261261261,0.09909909909909909,0.7762172284644194,0.9041077183169962
log_margin_val_r80,0.2,4,3,0.6485260770975056,0.611111111111111,0.1848072562358277,0.7662835249042145,0.8308850176891581
log_margin_val_r80,0.3,0,3,0.5012345679012346,0.45925925925925926,0.27530864197530863,0.7740412979351032,0.8546945470385374
log_margin_val_r80,0.3,1,3,0.6342281879194631,0.5995525727069352,0.16107382550335572,0.8421672555948175,0.9085372259507031
log_margin_val_r80,0.3,2,3,0.5652173913043478,0.5139353400222966,0.2709030100334448,0.7519685039370079,0.8250532405027048
log_margin_val_r80,0.3,3,3,0.6227477477477478,0.6036036036036035,0.12274774774774773,0.7709113607990012,0.9188514317890696
log_margin_val_r80,0.3,4,3,0.6247165532879819,0.582766439909297,0.20634920634920637,0.7484035759897828,0.8655714360083966
log_margin_val_r80,0.4,0,3,0.5012345679012346,0.45802469135802476,0.30246913580246915,0.8129973474801061,0.882444763255183
log_margin_val_r80,0.4,1,3,0.616331096196868,0.563758389261745,0.19574944071588365,0.8585858585858586,0.9178084416399428
log_margin_val_r80,0.4,2,3,0.5696767001114827,0.5128205128205128,0.2831661092530658,0.7803921568627451,0.8623836725396085
log_margin_val_r80,0.4,3,3,0.6137387387387387,0.5867117117117117,0.14977477477477477,0.8136150234741785,0.928715574548908
log_margin_val_r80,0.4,4,3,0.6190476190476191,0.5725623582766439,0.21995464852607707,0.7650429799426934,0.8919597747509113
log_margin_val_r80,0.5,0,3,0.47160493827160493,0.42345679012345677,0.3234567901234568,0.821656050955414,0.8986076155667058
log_margin_val_r80,0.5,1,3,0.5961968680089486,0.546979865771812,0.19910514541387025,0.8583509513742072,0.9319348072005477
log_margin_val_r80,0.5,2,3,0.5518394648829431,0.48606465997770343,0.3110367892976589,0.7990654205607477,0.8803049452271444
log_margin_val_r80,0.5,3,3,0.6036036036036035,0.5777027027027027,0.16666666666666666,0.8160660660660661,0.9362596739688395
log_margin_val_r80,0.5,4,3,0.6122448979591837,0.5668934240362812,0.22222222222222224,0.7815960290187095,0.9126152377955276
log_margin_val_r90,0.0,0,1,0.5814814814814815,0.5296296296296297,0.2851851851851852,,
log_margin_val_r90,0.0,1,1,0.697986577181208,0.6409395973154363,0.2080536912751678,,
log_margin_val_r90,0.0,2,1,0.6120401337792643,0.5384615384615384,0.27424749163879597,,
log_margin_val_r90,0.0,3,1,0.6351351351351351,0.6216216216216216,0.12837837837837837,,
log_margin_val_r90,0.0,4,1,0.6700680272108843,0.608843537414966,0.22789115646258504,,
log_margin_val_r90,0.1,0,3,0.5555555555555556,0.5037037037037037,0.2938271604938272,0.8306878306878307,0.664276831428502
log_margin_val_r90,0.1,1,3,0.674496644295302,0.6118568232662193,0.21029082774049215,0.9012345679012346,0.7310583478946105
log_margin_val_r90,0.1,2,3,0.6020066889632107,0.5328874024526198,0.3132664437012263,0.8265107212475633,0.60147548380267
log_margin_val_r90,0.1,3,3,0.6441441441441441,0.6171171171171171,0.14639639639639643,0.8870056497175142,0.7837197972432971
log_margin_val_r90,0.1,4,3,0.6609977324263038,0.5952380952380952,0.25170068027210885,0.8647619047619047,0.6715524271578084
