baseline,setting,scope,severity,paired_folds,folds,ci_method,confidence,delta_reject_aware_top1_pp,delta_reject_aware_top1_ci_low_pp,delta_reject_aware_top1_ci_high_pp,known_false_reject_reduction_pp,known_false_reject_reduction_ci_low_pp,known_false_reject_reduction_ci_high_pp
current_argmax,probability_val_r90,severity,0.3,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-2.7086307933015483,-7.492397721948193,2.075136135345096,-2.512618780151119,-10.335754844921208,5.310517284618968
current_argmax,probability_val_r90,severity,0.4,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-3.6069292129917128,-9.509435634046639,2.295577208063214,-3.637195208519565,-13.121580040510922,5.847189623471793
current_argmax,probability_val_r90,severity,0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-3.849200176058319,-9.344892476348718,1.6464921242320802,-3.822634490412776,-13.912980974314268,6.267711993488717
current_argmax,probability_val_r95,clean,0.0,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-5.074606511931952,-9.339183686556703,-0.8100293373071998,-8.358449321098869,-14.635579683734887,-2.0813189584628495
current_argmax,probability_val_r95,pooled_nonzero,0.1-0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-7.645173067231786,-13.353064571604289,-1.9372815628592825,-11.50628381775158,-20.48379432253257,-2.528773312970585
current_argmax,probability_val_r95,severity,0.1,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-5.938340999910881,-10.805904023347937,-1.0707779764738259,-9.237907373705726,-16.908358279154275,-1.5674564682571792
current_argmax,probability_val_r95,severity,0.2,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-6.836816309428757,-11.553693577582726,-2.119939041274789,-10.469944662699673,-18.684104731774347,-2.2557845936249974
current_argmax,probability_val_r95,severity,0.3,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-7.500946484022062,-13.763225852772464,-1.238667115271659,-11.203463582804119,-20.56292893900299,-1.843998226605248
current_argmax,probability_val_r95,severity,0.4,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-8.759406810986007,-15.461289573195213,-2.0575240487768016,-12.880324108935836,-22.919122654733272,-2.841525563138404
current_argmax,probability_val_r95,severity,0.5,0;1;2;3;4,5,two-sided paired Student-t across biological folds,0.95,-9.190354731811235,-15.840293938642077,-2.540415524980391,-13.73977936061252,-23.8642021865289,-3.61535653469614
