dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
atanas,2,2023-01-09-15,240s,middle,240,366.3501394407358,239.45751865615603,1615,398,1.6666142539978732
atanas,2,2023-01-09-15,240s,end,240,731.5366058553336,239.99617205245886,1615,399,1.6666142539978732
atanas,2,2023-01-09-15,480s,start,480,0.0,480.0587097584503,1615,798,1.6666142539978732
atanas,2,2023-01-09-15,480s,middle,480,246.04636186477728,480.09007431496866,1615,798,1.6666142539978732
atanas,2,2023-01-09-15,480s,end,480,492.07908722700085,479.4536906807916,1615,797,1.6666142539978732
atanas,2,2023-01-09-15,900s,start,900,0.0,900.5719135320978,1615,1497,1.6666142539978732
atanas,2,2023-01-09-15,900s,middle,900,36.114770320942625,899.9557577599771,1615,1496,1.6666142539978732
atanas,2,2023-01-09-15,900s,end,900,71.59088416094892,899.9418937468436,1615,1496,1.6666142539978732
atanas,2,2023-01-09-15,full,full,,0.0,971.5327779077925,1615,1615,1.6666142539978732
atanas,2,2023-01-23-08,15s,start,15,0.0,15.057291096483823,1600,25,1.6666142405786177
atanas,2,2023-01-23-08,15s,middle,15,474.0467027859995,15.05047259532148,1600,25,1.6666142405786177
atanas,2,2023-01-23-08,15s,end,15,948.0684047010727,14.468636351812165,1600,24,1.6666142405786177
atanas,2,2023-01-23-08,30s,start,30,0.0,30.082762772159185,1600,50,1.6666142405786177
atanas,2,2023-01-23-08,30s,middle,30,466.84647673228756,29.475925567094237,1600,49,1.6666142405786177
atanas,2,2023-01-23-08,30s,end,30,933.0461149374605,29.490926115424372,1600,49,1.6666142405786177
atanas,2,2023-01-23-08,60s,start,60,0.0,60.170070964086335,1600,100,1.6666142405786177
atanas,2,2023-01-23-08,60s,middle,60,451.79600413667504,59.55186986667104,1600,99,1.6666142405786177
atanas,2,2023-01-23-08,60s,end,60,902.9760797651252,59.56096128775971,1600,99,1.6666142405786177
atanas,2,2023-01-23-08,120s,start,120,0.0,120.33559659973253,1600,200,1.6666142405786177
atanas,2,2023-01-23-08,120s,middle,120,421.7064228836098,119.7194787163753,1600,199,1.6666142405786177
atanas,2,2023-01-23-08,120s,end,120,842.808281503967,119.72875954891788,1600,199,1.6666142405786177
