activity_hard_scores,activity_max_absolute_hard_gap,activity_mean_margin,activity_same,activity_strongest_margin,fold,full_prediction,geometry_hard_scores,geometry_max_absolute_hard_gap,geometry_mean_margin,geometry_same,geometry_strongest_margin,hard_candidates,identity,neuron_row,query_record,reference_record,wo_activity_prediction,wo_activity_prediction_is_hard,geometry_ambiguous_bottom_quartile,activity_beats_strongest_hard,strict_case
0.0630515950847;0.201642906409;0.188824691923,0.5557620872020631,0.4676406178145712,0.6188136822868125,0.4171707758774604,4,RIVR,0.814315043358;0.916560949413;0.738042635008,0.1427258764817233,0.057795635563417824,0.8807685114897617,-0.03579243792306663,ASGR;AVJR;AWAR,RIVR,115,2022-06-14-13,2023-01-23-15,M1,False,False,True,False
0.712495514993;0.723859737468;0.719432397847,0.04450893983797011,0.03840857139525544,0.7570044548313637,0.03314471736369551,4,RMDL,0.898611828675;0.875388506569;0.891266819524,0.020217658820160023,0.0071837804665386695,0.8956061653893499,-0.0030056632857540233,AVEL;AIBL;AVAL,RMDL,116,2022-06-14-13,2023-01-23-15,RMDDL,False,False,True,False
0.666019412748;0.753867251906;0.738159186847,0.112760569554759,0.059431365135698466,0.7787799823023278,0.02491273039667874,4,AVEL,0.892256886546;0.872084790182;0.913826439708,0.03682236614200729,0.016184450845393328,0.9089071563239702,-0.004919283383674311,RMDL;AVAL;AIBL,AVEL,118,2022-06-14-13,2023-01-23-15,AIBL,True,False,True,False
-0.599856609063;-0.558602576712;0.216389868047,1.316551878075592,1.030718374921958,0.7166952690129288,0.5003054009657271,4,RIBL,0.907074814308;0.908111990085;0.922815149227,0.023651913198691088,0.018059409633592538,0.9307267275069552,0.007911578280253573,AIBL;ASHL;AWCL,RIBL,123,2022-06-14-13,2023-01-23-15,ASJL,False,False,True,False
0.237092654666;0.549418857656;-0.218015173263,0.8149147615987846,0.40740080864947126,0.59689958833586,0.04748073067971759,4,SAAVL,0.873147679844;0.873872309623;0.880966421948,0.030409228644781905,0.027561438016892925,0.9035569084883209,0.02259048654044815,AVAL;RIAL;RMDVL,SAAVL,125,2022-06-14-13,2023-01-23-15,AVAL,True,False,True,False
0.37700621209;0.0489240575326;0.74188048143,0.7040216925633748,0.36367549974485813,0.7529457500959871,0.011065268665596428,4,AVAL,0.896799553205;0.88837788974;0.891514400233,0.01787854526330923,0.014025820610556572,0.9062564350032423,0.009456881798057593,RMDVL;SAAVL;AVEL,AVAL,126,2022-06-14-13,2023-01-23-15,AVEL,True,False,True,False
0.158533684959;0.200425970101;-0.292814622431,0.54383511348194,0.22897214684124564,0.25102049105063207,0.05059452095010153,4,URBL,0.93709135849;0.91396610196;0.910812647008,0.024677523799211953,0.014866801654382256,0.9354901708070014,-0.001601187682891636,IL1L;OLQVL;URYVL,URBL,16,2023-01-05-18,2023-01-09-15,RMEL,False,False,True,False
0.247589722581;0.0372973022699;0.3311870186,0.3196531229806496,-0.19382411886427608,0.011533895619460272,-0.3196531229806496,4,URBR,0.908660565368;0.903390384054;0.914382596515,0.02264220083124302,0.01722140290656693,0.9260325848857213,0.011649988370597386,OLLR;URYDR;IL1DR,URBR,17,2023-01-05-18,2023-01-09-15,RMER,False,False,False,False
-0.157597040045;-0.583809993886;-0.270733359545,0.5610902635011141,0.3146604007741164,-0.02271973038443835,0.13487730966037692,4,ADLL,0.939834062555;0.955128920932;0.914027685629,0.04499819273231864,0.022695655322725106,0.9590258783611402,0.003896957429270431,ASIL;ASGL;RIVL,ADLL,21,2023-01-05-18,2023-01-09-15,RIVL,True,False,True,False
-0.120950914642;0.0359961958046;-0.239793060234,0.711327311936925,0.5797835113932661,0.47153425170268404,0.43553805589804745,4,RIVL,0.965405640095;0.969194978639;0.956213559857,0.015361387788596081,-0.009771135346512305,0.953833590850795,-0.015361387788596081,ASIL;AVHL;ADLL,RIVL,25,2023-01-05-18,2023-01-09-15,AINL,False,True,True,False
0.544099408649;0.437683018587;0.595337939224,0.16773331476256442,0.07970954452979728,0.6054163333500322,0.010078394125762835,4,AVAR,0.893771507569;0.881200118557;0.849042589627,0.06418102764518097,0.03855221202115111,0.9132236172724235,0.019452109703283038,AVER;RMDVR;AIBR,AVAR,29,2023-01-05-18,2023-01-09-15,AWCR,False,False,True,False
-0.289047494935;-0.332516030898;0.183593070687,0.7026672884215851,-0.3730840660193532,-0.5190742177346465,-0.7026672884215851,4,AVL,0.936949165877;0.941393059998;0.943311159103,0.007627357664750645,-0.004867326887589285,0.9356838014383306,-0.007627357664750645,RICL;FLPL;AUAL,AVL,32,2023-01-05-18,2023-01-09-15,SMBVR,False,True,False,False
-0.476710400737;0.0579286450075;-0.368299754655,0.48859502075016775,0.2742451234743784,0.011884620012849834,-0.046044024994692345,4,AINR,0.962329131549;0.962791128835;0.964186604162,0.002369576596912615,0.001596419963939777,0.9646987081461414,0.0005121039839055541,AVJR;AVDR;ASER,AINR,38,2023-01-05-18,2023-01-09-15,ADER,False,True,False,False
-0.0272005719149;-0.279959586166;-0.287576018922,0.8932721524702146,0.8039415258829012,0.6056961335485885,0.6328967054634739,4,RMER,0.872264547044;0.756036426575;0.820246972668,0.131161718934793,0.07101549674761409,0.8871981455098717,0.014933598465737274,OLQVR;URBR;URYDR,RMER,40,2023-01-05-18,2023-01-09-15,RMDVR,False,False,True,False
0.0473625919433;-0.0707659747772;0.229093341882,0.564549611970591,0.4252203175106666,0.49378363719334667,0.2646902953113731,4,OLLR,0.926168458698;0.930153450254;0.898864752373,0.0177024382920401,-0.0018283631102482545,0.9165671906647921,-0.013586259589696392,URBR;IL1DR;IL2DR,OLLR,45,2023-01-05-18,2023-01-09-15,RMER,False,False,True,False
0.127628070849;-0.227531863765;0.054964044894,0.45472594419681556,-0.3121179573406894,-0.3270978733480601,-0.45472594419681556,4,ASEL,0.960202476476;0.930452364737;0.948647854494,0.025952284293515038,0.009970417128280062,0.9564046490306839,-0.0037978274453823735,AWBL;AUAL;AVHL,ASEL,50,2023-01-05-18,2023-01-09-15,AVDL,False,False,False,False
-0.216556356655;-0.132400350898;0.290690034181,0.42281440838795725,-0.1127021497497783,-0.13212437420680825,-0.42281440838795725,4,ADER,0.957104944227;0.941125956057;0.956727334545,0.025219939660661383,0.014693150774853114,0.9663458957178832,0.00924095149121984,FLPR;AVDR;AIZR,ADER,52,2023-01-05-18,2023-01-09-15,AVKR,False,False,False,False
0.121580000727;0.210513347531;0.388926532447,0.1466077842991568,0.001978787912734148,0.24231874814752233,-0.1466077842991568,4,IL1L,0.933524633833;0.945313998257;0.903299542989,0.044523392056417976,0.0204435433521728,0.9478229350449866,0.0025089367876764967,URBL;OLLL;OLQVL,IL1L,56,2023-01-05-18,2023-01-09-15,URYVL,False,False,False,False
0.106122206121;0.268713909837;0.183620749783,0.1290819866709175,0.04905190421120617,0.23520419279146906,-0.033509717045512116,4,URXL,0.936530967229;0.94189030286;0.930375762342,0.01836853472337152,0.01247861958837393,0.9487442970653409,0.0068539942051650815,RIAL;CEPDL;SMDVL,URXL,58,2023-01-05-18,2023-01-09-15,ADLL,False,False,False,False
0.565817954181;0.491329682961;0.355151230942,0.16334329491858007,0.0477282364989578,0.5184945258605416,-0.047323428320930616,4,AVER,0.872173211141;0.910336161407;0.867994321154,0.04538780614937854,0.029880896069053198,0.9133821273032494,0.0030459658959831604,AIBR;AVAR;RMDVR,AVER,61,2023-01-05-18,2023-01-09-15,AIBR,True,False,False,False
0.400970926402;0.123585309842;0.279673751836,0.3004740789206805,0.15598272606912467,0.4240593887625689,0.023088462360232875,4,OLQDR,0.908035532389;0.889861731822;0.918333541634,0.028045604112086897,0.01249706731890654,0.9179073359340741,-0.00042620570003137903,URYDR;IL1DR;OLQDL,OLQDR,63,2023-01-05-18,2023-01-09-15,RID,False,False,True,False
0.0129712758371;-0.0250874148016;0.293356812407,0.5562600205337185,0.4374257145844311,0.5311726057320709,0.23781579332462194,4,URYDR,0.870136928546;0.937987619365;0.924106163557,0.05969864480957665,0.019092002866226587,0.9298355733554741,-0.008152046009463843,OLQDR;IL1DR;URBR,URYDR,68,2023-01-05-18,2023-01-09-15,OLQDR,True,False,True,False
-0.343229846739;-0.150333514556;0.472754413596,0.8330121594275538,0.4967186285882992,0.4897823126888184,0.017027899092864285,4,MI,0.9758914814;0.966369076182;0.95611861266,0.0223494715870719,0.01234169416644515,0.9784680842470194,0.0025766028475041614,I3;M4;MCL,MI,71,2023-01-05-18,2023-01-09-15,I3,True,False,True,False
