setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
neurid_original,0.5,1,3,0.5961968680089486,0.4977628635346756,0.32550335570469796,0.9390415785764623,0.9015591658391457
neurid_original,0.5,2,3,0.5518394648829431,0.4214046822742475,0.45819397993311045,0.9240654205607477,0.852391325704669
neurid_original,0.5,3,3,0.6036036036036035,0.46396396396396394,0.40990990990990994,0.956081081081081,0.874950831087499
neurid_original,0.5,4,3,0.6122448979591837,0.5034013605442177,0.38321995464852604,0.9278350515463917,0.8778848054875833
no_dustbin_confidence,0.0,0,1,0.4888888888888889,0.48518518518518516,0.1111111111111111,,
no_dustbin_confidence,0.0,1,1,0.6543624161073825,0.6476510067114094,0.08389261744966443,,
no_dustbin_confidence,0.0,2,1,0.5785953177257525,0.5752508361204013,0.020066889632107024,,
no_dustbin_confidence,0.0,3,1,0.6148648648648649,0.6148648648648649,0.04391891891891892,,
no_dustbin_confidence,0.0,4,1,0.6326530612244898,0.6156462585034014,0.030612244897959183,,
no_dustbin_confidence,0.1,0,3,0.4654320987654321,0.4617283950617284,0.10864197530864199,0.5608465608465608,0.7839373951675053
no_dustbin_confidence,0.1,1,3,0.656599552572707,0.6487695749440716,0.07941834451901565,0.7001763668430335,0.8481789150295093
no_dustbin_confidence,0.1,2,3,0.564102564102564,0.5629877369007804,0.015607580824972128,0.4327485380116958,0.9412027597569766
no_dustbin_confidence,0.1,3,3,0.6058558558558559,0.6047297297297297,0.03378378378378379,0.5178907721280602,0.9015072846848547
no_dustbin_confidence,0.1,4,3,0.6179138321995464,0.6145124716553289,0.031746031746031744,0.2780952380952381,0.8375
no_dustbin_confidence,0.2,0,3,0.4493827160493827,0.4432098765432099,0.08765432098765431,0.5968169761273209,0.9047248280567799
no_dustbin_confidence,0.2,1,3,0.6286353467561522,0.6230425055928412,0.07829977628635347,0.7025371828521435,0.9196992434317103
no_dustbin_confidence,0.2,2,3,0.5551839464882943,0.5540691192865106,0.0189520624303233,0.4496578690127077,0.9643534002229655
no_dustbin_confidence,0.2,3,3,0.588963963963964,0.5878378378378378,0.028153153153153157,0.5224719101123596,0.9570519410157097
