raw_schema_version,fold,severity,perturbation_seed,setting,recordings,false_reject_budget,known_queries,synthetic_unknown_queries,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision,execution_device,checkpoint,corruption_root
2,0,0.3,1,no_dustbin_forced,19,0.05,270,565,0.43703703703703706,0.43703703703703706,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p1
2,0,0.3,2,neurid_original,19,0.05,270,565,0.5148148148148148,0.42592592592592593,0.4111111111111111,0.9433628318584071,0.827639751552795,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p2
2,0,0.3,2,neurid_calibrated,19,0.05,270,565,0.5148148148148148,0.4925925925925926,0.2,0.39823008849557523,0.8064516129032258,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p2
2,0,0.3,2,no_dustbin_confidence,19,0.05,270,565,0.45185185185185184,0.44814814814814813,0.08148148148148149,0.6283185840707964,0.9416445623342176,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p2
2,0,0.3,2,no_dustbin_forced,19,0.05,270,565,0.45185185185185184,0.45185185185185184,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.30_p2
2,0,0.4,0,neurid_original,19,0.05,270,754,0.5111111111111111,0.42962962962962964,0.44074074074074077,0.9535809018567639,0.8579952267303103,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p0
2,0,0.4,0,neurid_calibrated,19,0.05,270,754,0.5111111111111111,0.4925925925925926,0.1925925925925926,0.4336870026525199,0.862796833773087,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p0
2,0,0.4,0,no_dustbin_confidence,19,0.05,270,754,0.44074074074074077,0.44074074074074077,0.09259259259259259,0.5862068965517241,0.9464668094218416,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p0
2,0,0.4,0,no_dustbin_forced,19,0.05,270,754,0.44074074074074077,0.44074074074074077,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p0
2,0,0.4,1,neurid_original,19,0.05,270,754,0.4925925925925926,0.4,0.4666666666666667,0.9509283819628647,0.8505338078291815,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p1
2,0,0.4,1,neurid_calibrated,19,0.05,270,754,0.4925925925925926,0.4666666666666667,0.2,0.42572944297082227,0.856,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p1
2,0,0.4,1,no_dustbin_confidence,19,0.05,270,754,0.43333333333333335,0.43333333333333335,0.09259259259259259,0.6206896551724138,0.949290060851927,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p1
2,0,0.4,1,no_dustbin_forced,19,0.05,270,754,0.43333333333333335,0.43333333333333335,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p1
2,0,0.4,2,neurid_original,19,0.05,270,754,0.5,0.4185185185185185,0.43703703703703706,0.9429708222811671,0.8576598311218335,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p2
2,0,0.4,2,neurid_calibrated,19,0.05,270,754,0.5,0.4666666666666667,0.2037037037037037,0.4244031830238727,0.8533333333333334,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p2
2,0,0.4,2,no_dustbin_confidence,19,0.05,270,754,0.4444444444444444,0.44074074074074077,0.07777777777777778,0.6007957559681698,0.9556962025316456,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p2
2,0,0.4,2,no_dustbin_forced,19,0.05,270,754,0.4444444444444444,0.4444444444444444,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.40_p2
2,0,0.5,0,neurid_original,19,0.05,270,942,0.45925925925925926,0.37037037037037035,0.4777777777777778,0.945859872611465,0.8735294117647059,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p0
2,0,0.5,0,neurid_calibrated,19,0.05,270,942,0.45925925925925926,0.43703703703703706,0.21481481481481482,0.46390658174097665,0.8828282828282829,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p0
2,0,0.5,0,no_dustbin_confidence,19,0.05,270,942,0.40370370370370373,0.40370370370370373,0.0962962962962963,0.5997876857749469,0.9560067681895094,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p0
2,0,0.5,0,no_dustbin_forced,19,0.05,270,942,0.40370370370370373,0.40370370370370373,0.0,0.0,,cpu,/home/ubuntu/klb/nuclr/nuclr/runs/mprt_v1_1_dynamic_residual_atlas_cv5x3_v1/rld/fold0/seed42/dynamic/low_rank_r8/best.pt,/home/ubuntu/klb/nuclr/nuclr/runs/rld_robustness_cv5_seed42_v2/corruptions/fold0/outlier_l0.50_p0
