identity,same_similarity,hard_similarity,stability_margin,median_margin,n_animal_pairs,support_animals,n_test_queries,mprt_top1
FLPL,0.9337660451185786,0.9210742486406414,0.012691796477937112,0.010657509105014173,1056,33,99,0.5353535353535354
FLPR,0.8764373933915844,0.8605067578242092,0.015930635567375045,0.014714769676871686,210,15,45,0.5555555555555556
I1L,0.9360079250920351,0.9287325709782565,0.007275354113778687,0.00656297737601963,1122,34,102,0.9019607843137256
I1R,0.9477303824484244,0.9402688021975438,0.007461580250880752,0.006507496301155824,812,29,87,0.8850574712643678
I2L,0.9400145851345039,0.9279660278815937,0.012048557252910319,0.009054848820279182,1332,37,111,0.8378378378378378
I2R,0.9454325513707725,0.9348067844442884,0.010625766926484008,0.008794423091371184,870,30,90,0.9333333333333332
I3,0.9263484525027408,0.9081614122316458,0.018187040271095224,0.010713435164686091,1332,37,111,0.945945945945946
I4,0.9413950235276807,0.9148851569609486,0.026509866566731956,0.018126416993547667,72,9,27,0.6666666666666666
I5,0.9433467351145498,0.9237077933982083,0.019638941716341656,0.010415233113645339,6,3,9,0.0
I6,0.930049576335732,0.9087714128906954,0.021278163445036816,0.01842753506093342,132,12,36,0.1388888888888889
IL1DL,0.8585543047030528,0.8329569101072708,0.025597394595782138,0.02154399926523548,756,28,84,0.7976190476190477
IL1DR,0.8672576613942878,0.8403561954195357,0.026901465974752344,0.02488994974572739,1056,33,99,0.8282828282828283
IL1L,0.8912531576633274,0.8711570003173267,0.02009615734600059,0.015678479446151916,992,32,96,0.84375
IL1R,0.8979631848309096,0.8777337005987451,0.02022948423216454,0.01473062516045337,930,31,93,0.8172043010752689
IL1VL,0.8316006935239204,0.8090443929387371,0.022556300585183365,0.01737819243725952,306,18,54,0.7037037037037037
IL1VR,0.7566701309699346,0.7325797964198116,0.024090334550122956,0.01658440644343495,506,23,69,0.8405797101449275
IL2DL,0.9034679846424734,0.8884541988406891,0.015013785801784054,0.010906624746097437,1260,36,108,0.8333333333333334
IL2DR,0.8938668685895239,0.879921228433313,0.013945640156210784,0.010118404114972168,756,28,84,0.7976190476190477
IL2L,0.8799613425138295,0.8520872124450646,0.02787413006876491,0.021239836727258266,756,28,84,0.6785714285714286
IL2R,0.9005961323247204,0.8791238718297247,0.02147226049499542,0.017574331982663782,552,24,72,0.5972222222222222
IL2VL,0.8722871191991625,0.8561266594803386,0.01616045971882391,0.006677820752417796,702,27,81,0.9629629629629628
IL2VR,0.8599339447733673,0.8413066449935418,0.01862729977982541,0.008348592632515195,812,29,84,0.9166666666666666
M1,0.9411334905411493,0.8871794265522734,0.05395406398887582,0.03994282355935441,342,19,57,0.7719298245614035
M3L,0.9090993360224057,0.8869193972473226,0.022179938775083025,0.01813325108531999,1406,38,114,0.7982456140350878
M3R,0.9098193330090518,0.8841682212825033,0.025651111726548475,0.018452879479491813,1190,35,105,0.819047619047619
M4,0.9084880150364749,0.8932157064072282,0.01527230862924662,0.011881705152782196,756,28,84,0.8571428571428571
M5,0.9258705636153083,0.9069596052325819,0.018910958382726367,0.015395009016626271,506,23,69,0.7536231884057971
MCL,0.9433877621594239,0.933968560850217,0.009419201309206914,0.007840473117362634,702,27,81,0.8024691358024691
MCR,0.8485661573455504,0.8416571652030905,0.00690899214245988,0.004612234519018765,132,12,36,0.8333333333333334
MI,0.9154343823772919,0.90116545586814,0.014268926509151765,0.010612130935327535,812,29,87,0.8735632183908046
NSML,0.9234748656344054,0.9112135414329441,0.012261324201461256,0.010112241138094169,1190,35,105,0.780952380952381
NSMR,0.921227719455292,0.9019531233503854,0.019274596104906717,0.01151696299869126,1122,34,102,0.7941176470588235
OLLL,0.8699287546921908,0.8511238254155256,0.018804929276665074,0.014685818913468263,1056,33,99,0.898989898989899
OLLR,0.8991129953323335,0.8789922323486761,0.020120762983657496,0.016028332567013026,1056,33,99,0.8787878787878788
OLQDL,0.850614895502561,0.8249801710569401,0.02563472444562086,0.02343958620699038,1260,36,108,0.8703703703703703
OLQDR,0.846038384512977,0.8260319062740961,0.020006478238880934,0.023417492327731104,1190,35,105,0.8380952380952381
OLQVL,0.8128780148422721,0.7842719615338527,0.028606053308419418,0.025005798356699804,992,32,96,0.8645833333333334
OLQVR,0.8136750117716735,0.7758047118488397,0.03787029992283355,0.030743181900012906,702,27,81,0.8024691358024691
