dataset,method,fold,seed,seed_invariant,split_family,top1,top5,mrr,hungarian,queries,template
rld,fDNC,4,42,False,benchmark_official/protocols,0.21052631578947367,0.6710526315789473,0.4113730517599468,0.09210526315789473,76,20240714-16-04-26
rld,fDNC,4,123,False,benchmark_official/protocols,0.2631578947368421,0.6973684210526315,0.45683899298246705,0.11842105263157894,76,20240714-16-04-26
rld,fDNC,5,1,False,benchmark_official/protocols,0.19736842105263158,0.7763157894736842,0.45205855161350533,0.07894736842105263,76,20240714-16-04-26
rld,fDNC,5,42,False,benchmark_official/protocols,0.2236842105263158,0.7763157894736842,0.461654560609669,0.09210526315789473,76,20240714-16-04-26
rld,fDNC,5,123,False,benchmark_official/protocols,0.19736842105263158,0.7631578947368421,0.4586513557392042,0.07894736842105263,76,20240714-16-04-26
atanas,NuCLR,1,1,False,benchmark_official/protocols,0.21165048543689322,0.4679611650485437,0.3435430817076297,0.20388349514563106,515,2023-01-16-15
atanas,NuCLR,1,42,False,benchmark_official/protocols,0.19223300970873786,0.48349514563106794,0.33500918694327586,0.22330097087378642,515,2023-01-16-15
atanas,NuCLR,1,123,False,benchmark_official/protocols,0.1883495145631068,0.44660194174757284,0.3234359187815064,0.20776699029126214,515,2023-01-16-15
atanas,NuCLR,2,1,False,benchmark_official/protocols,0.18995633187772926,0.4650655021834061,0.3243881944037637,0.19868995633187772,458,2023-01-09-22
atanas,NuCLR,2,42,False,benchmark_official/protocols,0.21179039301310043,0.47161572052401746,0.33313632103939494,0.19868995633187772,458,2023-01-09-22
atanas,NuCLR,2,123,False,benchmark_official/protocols,0.19213973799126638,0.4497816593886463,0.3191495573182119,0.18995633187772926,458,2023-01-09-22
atanas,NuCLR,3,1,False,benchmark_official/protocols,0.16032064128256512,0.40681362725450904,0.2866892867519098,0.17034068136272545,499,2023-01-16-15
atanas,NuCLR,3,42,False,benchmark_official/protocols,0.17835671342685372,0.40681362725450904,0.29278299187888285,0.17034068136272545,499,2023-01-16-15
atanas,NuCLR,3,123,False,benchmark_official/protocols,0.1843687374749499,0.4168336673346693,0.30438220283216205,0.18837675350701402,499,2023-01-16-15
atanas,NuCLR,4,1,False,benchmark_official/protocols,0.166015625,0.45703125,0.3090490559178447,0.19140625,512,2023-01-09-22
atanas,NuCLR,4,42,False,benchmark_official/protocols,0.169921875,0.4453125,0.3052321134127484,0.19921875,512,2023-01-09-22
atanas,NuCLR,4,123,False,benchmark_official/protocols,0.173828125,0.447265625,0.3092134344074724,0.189453125,512,2023-01-09-22
atanas,NuCLR,5,1,False,benchmark_official/protocols,0.2237442922374429,0.4292237442922374,0.33303295785053266,0.228310502283105,438,2023-01-16-15
atanas,NuCLR,5,42,False,benchmark_official/protocols,0.21232876712328766,0.4337899543378995,0.3280816941026431,0.19863013698630136,438,2023-01-16-15
atanas,NuCLR,5,123,False,benchmark_official/protocols,0.2100456621004566,0.4337899543378995,0.32803481608920104,0.21689497716894976,438,2023-01-16-15
rld,NuCLR,1,1,False,benchmark_official/protocols,0.12903225806451613,0.1935483870967742,0.17668878866984675,0.03225806451612903,31,20240714-16-04-26
rld,NuCLR,1,42,False,benchmark_official/protocols,0.12903225806451613,0.16129032258064516,0.17443603214669587,0.06451612903225806,31,20240714-16-04-26
rld,NuCLR,1,123,False,benchmark_official/protocols,0.12903225806451613,0.16129032258064516,0.17096456736461063,0.03225806451612903,31,20240714-16-04-26
rld,NuCLR,2,1,False,benchmark_official/protocols,0.17796610169491525,0.559322033898305,0.34256346930362624,0.19491525423728814,118,20240828-17-07-39
rld,NuCLR,2,42,False,benchmark_official/protocols,0.17796610169491525,0.576271186440678,0.3547843133622029,0.23728813559322035,118,20240828-17-07-39
rld,NuCLR,2,123,False,benchmark_official/protocols,0.1864406779661017,0.5677966101694916,0.3494042223867802,0.19491525423728814,118,20240828-17-07-39
rld,NuCLR,3,1,False,benchmark_official/protocols,0.12903225806451613,0.4731182795698925,0.2818267829554067,0.1935483870967742,93,20240828-17-07-39
rld,NuCLR,3,42,False,benchmark_official/protocols,0.16129032258064516,0.41935483870967744,0.29469205848111973,0.17204301075268819,93,20240828-17-07-39
rld,NuCLR,3,123,False,benchmark_official/protocols,0.1827956989247312,0.43010752688172044,0.29972625882530174,0.1935483870967742,93,20240828-17-07-39
rld,NuCLR,4,1,False,benchmark_official/protocols,0.12121212121212122,0.2727272727272727,0.21841616556380952,0.06060606060606061,66,20240714-16-04-26
rld,NuCLR,4,42,False,benchmark_official/protocols,0.12121212121212122,0.3333333333333333,0.22296792306548097,0.06060606060606061,66,20240714-16-04-26
rld,NuCLR,4,123,False,benchmark_official/protocols,0.18181818181818182,0.3484848484848485,0.2745942626010548,0.06060606060606061,66,20240714-16-04-26
rld,NuCLR,5,1,False,benchmark_official/protocols,0.1267605633802817,0.5492957746478874,0.30222215176787587,0.07042253521126761,71,20240714-16-04-26
rld,NuCLR,5,42,False,benchmark_official/protocols,0.16901408450704225,0.38028169014084506,0.2658639436179215,0.1267605633802817,71,20240714-16-04-26
rld,NuCLR,5,123,False,benchmark_official/protocols,0.15492957746478872,0.323943661971831,0.24846513813272272,0.09859154929577464,71,20240714-16-04-26
atanas,GeoTransformer,1,1,False,geotransformer_official/data_cv5,0.4727954971857411,0.7636022514071295,0.5901992468628159,0.44840525328330205,533,2023-01-09-22.npz
atanas,GeoTransformer,1,42,False,geotransformer_official/data_cv5,0.4709193245778612,0.7448405253283302,0.5840566323801009,0.41088180112570355,533,2023-01-09-22.npz
atanas,GeoTransformer,1,123,False,geotransformer_official/data_cv5,0.49530956848030017,0.7429643527204502,0.5973868343217288,0.48592870544090055,533,2023-01-09-22.npz
atanas,GeoTransformer,2,1,False,geotransformer_official/data_cv5,0.44516129032258067,0.7763440860215054,0.5812903291435652,0.4236559139784946,465,2023-01-09-22.npz
atanas,GeoTransformer,2,42,False,geotransformer_official/data_cv5,0.4236559139784946,0.7526881720430108,0.560093742288569,0.41935483870967744,465,2023-01-09-22.npz
atanas,GeoTransformer,2,123,False,geotransformer_official/data_cv5,0.4817204301075269,0.7741935483870968,0.6025883254184518,0.44516129032258067,465,2023-01-09-22.npz
atanas,GeoTransformer,3,1,False,geotransformer_official/data_cv5,0.41035120147874304,0.6506469500924215,0.5122605875106925,0.3659889094269871,541,2023-01-09-22.npz
atanas,GeoTransformer,3,42,False,geotransformer_official/data_cv5,0.4029574861367837,0.6654343807763401,0.5146180754888962,0.3659889094269871,541,2023-01-09-22.npz
atanas,GeoTransformer,3,123,False,geotransformer_official/data_cv5,0.39371534195933455,0.6321626617375231,0.4885727640881776,0.3567467652495379,541,2023-01-09-22.npz
atanas,GeoTransformer,4,1,False,geotransformer_official/data_cv5,0.3918918918918919,0.7104247104247104,0.5153218273030284,0.35714285714285715,518,2023-01-09-22.npz
atanas,GeoTransformer,4,42,False,geotransformer_official/data_cv5,0.416988416988417,0.7142857142857143,0.5375972990823988,0.3552123552123552,518,2023-01-09-22.npz
atanas,GeoTransformer,4,123,False,geotransformer_official/data_cv5,0.4247104247104247,0.7027027027027027,0.5420558553865057,0.3783783783783784,518,2023-01-09-22.npz
atanas,GeoTransformer,5,1,False,geotransformer_official/data_cv5,0.5651162790697675,0.7813953488372093,0.6600427583206532,0.5,430,2022-06-14-07.npz
atanas,GeoTransformer,5,42,False,geotransformer_official/data_cv5,0.5069767441860465,0.7813953488372093,0.6309937011363894,0.4441860465116279,430,2022-06-14-07.npz
atanas,GeoTransformer,5,123,False,geotransformer_official/data_cv5,0.5162790697674419,0.7697674418604651,0.6283048053120458,0.45348837209302323,430,2022-06-14-07.npz
rld,GeoTransformer,1,1,False,geotransformer_official/data_cv5,0.35714285714285715,0.6666666666666666,0.4841269822347732,0.19047619047619047,42,20240724-15-07-00.npz
rld,GeoTransformer,1,42,False,geotransformer_official/data_cv5,0.2857142857142857,0.5952380952380952,0.4190579273161434,0.07142857142857142,42,20240724-15-07-00.npz
rld,GeoTransformer,1,123,False,geotransformer_official/data_cv5,0.30952380952380953,0.5476190476190477,0.40083943875063033,0.23809523809523808,42,20240724-15-07-00.npz
rld,GeoTransformer,2,1,False,geotransformer_official/data_cv5,0.27102803738317754,0.5887850467289719,0.410067345981843,0.16822429906542055,107,20230510-12-53-34.npz
rld,GeoTransformer,2,42,False,geotransformer_official/data_cv5,0.29906542056074764,0.5981308411214953,0.43109970393581926,0.17757009345794392,107,20230510-12-53-34.npz
rld,GeoTransformer,2,123,False,geotransformer_official/data_cv5,0.32710280373831774,0.6448598130841121,0.4646784493299288,0.14018691588785046,107,20230510-12-53-34.npz
rld,GeoTransformer,3,1,False,geotransformer_official/data_cv5,0.304,0.488,0.3783088045120239,0.152,125,20230510-12-53-34.npz
rld,GeoTransformer,3,42,False,geotransformer_official/data_cv5,0.352,0.568,0.4455934600830078,0.208,125,20230510-12-53-34.npz
rld,GeoTransformer,3,123,False,geotransformer_official/data_cv5,0.304,0.592,0.4161575803756714,0.208,125,20230510-12-53-34.npz
rld,GeoTransformer,4,1,False,geotransformer_official/data_cv5,0.0,0.0,0.008192524794609315,0.0,31,20230604-17-09-01.npz
rld,GeoTransformer,4,42,False,geotransformer_official/data_cv5,0.06451612903225806,0.1935483870967742,0.12857142907957878,0.03225806451612903,31,20230604-17-09-01.npz
rld,GeoTransformer,4,123,False,geotransformer_official/data_cv5,0.0967741935483871,0.22580645161290322,0.16520181045897545,0.03225806451612903,31,20230604-17-09-01.npz
rld,GeoTransformer,5,1,False,geotransformer_official/data_cv5,0.3023255813953488,0.5174418604651163,0.3851780747604925,0.1569767441860465,172,20230510-12-53-34.npz
rld,GeoTransformer,5,42,False,geotransformer_official/data_cv5,0.25,0.5290697674418605,0.3621061348984408,0.12209302325581395,172,20230510-12-53-34.npz
rld,GeoTransformer,5,123,False,geotransformer_official/data_cv5,0.2558139534883721,0.4883720930232558,0.3423799777966599,0.1511627906976744,172,20230510-12-53-34.npz
