dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
rld,1,20221106-21-00-09,30s,start,30,0.0,30.71882955169679,1000,32,1.0417063562316649
rld,1,20221106-21-00-09,30s,middle,30,465.5822603929043,29.75886612820625,1000,31,1.0417063562316649
rld,1,20221106-21-00-09,30s,end,30,930.204557362318,29.75886612820625,1000,31,1.0417063562316649
rld,1,20221106-21-00-09,60s,start,60,0.0,60.47769567990305,1000,63,1.0417063562316649
rld,1,20221106-21-00-09,60s,middle,60,450.2228456170559,60.477695679903036,1000,63,1.0417063562316649
rld,1,20221106-21-00-09,60s,end,60,900.4456912341118,59.5177322564125,1000,62,1.0417063562316649
rld,1,20221106-21-00-09,120s,start,120,0.0,120.95539135980609,1000,126,1.0417063562316649
rld,1,20221106-21-00-09,120s,middle,120,420.46397948884965,119.99542793631554,1000,125,1.0417063562316649
rld,1,20221106-21-00-09,120s,end,120,839.9679955542088,119.99542793631554,1000,125,1.0417063562316649
rld,1,20221106-21-00-09,240s,start,240,0.0,240.9508192961216,1000,251,1.0417063562316649
rld,1,20221106-21-00-09,240s,middle,240,359.9862838089466,240.9508192961216,1000,251,1.0417063562316649
rld,1,20221106-21-00-09,240s,end,240,719.9725676178932,239.99085587263107,1000,250,1.0417063562316649
rld,1,20221106-21-00-09,480s,start,480,0.0,480.9416751687527,1000,501,1.0417063562316649
rld,1,20221106-21-00-09,480s,middle,480,239.99085587263107,480.9416751687527,1000,501,1.0417063562316649
rld,1,20221106-21-00-09,480s,end,480,479.98171174526215,479.98171174526215,1000,500,1.0417063562316649
rld,1,20221106-21-00-09,900s,start,900,0.0,900.4456912341118,1000,938,1.0417063562316649
rld,1,20221106-21-00-09,900s,middle,900,30.71882955169678,899.4857278106213,1000,937,1.0417063562316649
rld,1,20221106-21-00-09,900s,end,900,60.477695679903036,899.4857278106213,1000,937,1.0417063562316649
rld,1,20221106-21-00-09,full,full,,0.0,959.9634234905243,1000,1000,1.0417063562316649
rld,1,20230322-21-41-10,15s,start,15,0.0,15.359575584411624,1500,16,1.041695449986149
rld,1,20230322-21-41-10,15s,middle,15,713.2602912011147,14.399602110385956,1500,15,1.041695449986149
rld,1,20230322-21-41-10,15s,end,15,1425.5606089282037,14.399602110385842,1500,15,1.041695449986149
rld,1,20230322-21-41-10,30s,start,30,0.0,30.719151168823245,1500,32,1.041695449986149
rld,1,20230322-21-41-10,30s,middle,30,705.5805034089088,29.75917769479753,1500,31,1.041695449986149
rld,1,20230322-21-41-10,30s,end,30,1410.201033343792,29.75917769479753,1500,31,1.041695449986149
rld,1,20230322-21-41-10,60s,start,60,0.0,60.47832886362077,1500,63,1.041695449986149
rld,1,20230322-21-41-10,60s,middle,60,690.2209278244973,60.47832886362079,1500,63,1.041695449986149
rld,1,20230322-21-41-10,60s,end,60,1380.4418556489945,59.518355389595,1500,62,1.041695449986149
rld,1,20230322-21-41-10,120s,start,120,0.0,120.95665772724152,1500,126,1.041695449986149
rld,1,20230322-21-41-10,120s,middle,120,660.4617501296998,119.99668425321573,1500,125,1.041695449986149
rld,1,20230322-21-41-10,120s,end,120,1319.9635267853737,119.99668425321585,1500,125,1.041695449986149
rld,1,20230322-21-41-10,240s,start,240,0.0,240.9533419804573,1500,251,1.041695449986149
rld,1,20230322-21-41-10,240s,middle,240,599.983421266079,240.9533419804573,1500,251,1.041695449986149
rld,1,20230322-21-41-10,240s,end,240,1199.966842532158,239.99336850643164,1500,250,1.041695449986149
rld,1,20230322-21-41-10,480s,start,480,0.0,480.9467104868889,1500,501,1.041695449986149
rld,1,20230322-21-41-10,480s,middle,480,479.98673701286316,480.9467104868889,1500,501,1.041695449986149
rld,1,20230322-21-41-10,480s,end,480,959.9734740257263,479.9867370128632,1500,500,1.041695449986149
rld,1,20230322-21-41-10,900s,start,900,0.0,900.4551186361314,1500,938,1.041695449986149
rld,1,20230322-21-41-10,900s,middle,900,270.71251967525484,899.4951451621057,1500,937,1.041695449986149
rld,1,20230322-21-41-10,900s,end,900,540.465065876484,899.4951451621055,1500,937,1.041695449986149
rld,1,20230322-21-41-10,full,full,,0.0,1439.9602110385895,1500,1500,1.041695449986149
rld,1,20230322-22-43-03,15s,start,15,0.0,15.35964379882812,1500,16,1.041690823664855
rld,1,20230322-22-43-03,15s,middle,15,713.263458908081,14.39966606140132,1500,15,1.041690823664855
rld,1,20230322-22-43-03,15s,end,15,1425.5669400787353,14.399666061401433,1500,15,1.041690823664855
rld,1,20230322-22-43-03,30s,start,30,0.0,30.719287597656244,1500,32,1.041690823664855
rld,1,20230322-22-43-03,30s,middle,30,705.5836370086669,29.759309860229507,1500,31,1.041690823664855
rld,1,20230322-22-43-03,30s,end,30,1410.2072962799073,29.759309860229507,1500,31,1.041690823664855
rld,1,20230322-22-43-03,60s,start,60,0.0,60.47859745788574,1500,63,1.041690823664855
rld,1,20230322-22-43-03,60s,middle,60,690.2239932098388,60.47859745788577,1500,63,1.041690823664855
rld,1,20230322-22-43-03,60s,end,60,1380.4479864196778,59.51861972045896,1500,62,1.041690823664855
rld,1,20230322-22-43-03,120s,start,120,0.0,120.95719491577148,1500,126,1.041690823664855
rld,1,20230322-22-43-03,120s,middle,120,660.4646833496093,119.99721717834467,1500,125,1.041690823664855
rld,1,20230322-22-43-03,120s,end,120,1319.969388961792,119.99721717834478,1500,125,1.041690823664855
rld,1,20230322-22-43-03,240s,start,240,0.0,240.9544120941162,1500,251,1.041690823664855
rld,1,20230322-22-43-03,240s,middle,240,599.9860858917235,240.9544120941162,1500,251,1.041690823664855
rld,1,20230322-22-43-03,240s,end,240,1199.9721717834473,239.9944343566895,1500,250,1.041690823664855
rld,1,20230322-22-43-03,480s,start,480,0.0,480.94884645080566,1500,501,1.041690823664855
rld,1,20230322-22-43-03,480s,middle,480,479.9888687133789,480.94884645080555,1500,501,1.041690823664855
rld,1,20230322-22-43-03,480s,end,480,959.9777374267577,479.9888687133791,1500,500,1.041690823664855
rld,1,20230322-22-43-03,900s,start,900,0.0,900.4591177062987,1500,938,1.041690823664855
rld,1,20230322-22-43-03,900s,middle,900,270.7137219543457,899.4991399688722,1500,937,1.041690823664855
rld,1,20230322-22-43-03,900s,end,900,540.4674661712646,899.4991399688722,1500,937,1.041690823664855
rld,1,20230322-22-43-03,full,full,,0.0,1439.9666061401367,1500,1500,1.041690823664855
rld,1,20230502-20-41-23,15s,start,15,0.0,15.359680747985864,1500,16,1.041688317779505
rld,1,20230502-20-41-23,15s,middle,15,713.2651747345925,14.399700701236725,1500,15,1.041688317779505
rld,1,20230502-20-41-23,15s,end,15,1425.570369422436,14.399700701236839,1500,15,1.041688317779505
rld,1,20230502-20-41-23,30s,start,30,0.0,30.719361495971704,1500,32,1.041688317779505
rld,1,20230502-20-41-23,30s,middle,30,705.5853343605995,29.759381449222587,1500,31,1.041688317779505
rld,1,20230502-20-41-23,30s,end,30,1410.21068867445,29.759381449222815,1500,31,1.041688317779505
rld,1,20230502-20-41-23,60s,start,60,0.0,60.47874294519427,1500,63,1.041688317779505
rld,1,20230502-20-41-23,60s,middle,60,690.2256536126137,60.47874294519431,1500,63,1.041688317779505
rld,1,20230502-20-41-23,60s,end,60,1380.4513072252275,59.51876289844529,1500,62,1.041688317779505
rld,1,20230502-20-41-23,120s,start,120,0.0,120.95748589038853,1500,126,1.041688317779505
rld,1,20230502-20-41-23,120s,middle,120,660.4662721633912,119.99750584363937,1500,125,1.041688317779505
rld,1,20230502-20-41-23,120s,end,120,1319.9725642800333,119.99750584363949,1500,125,1.041688317779505
rld,1,20230502-20-41-23,240s,start,240,0.0,240.9549917340279,1500,251,1.041688317779505
rld,1,20230502-20-41-23,240s,middle,240,599.9875292181969,240.95499173402789,1500,251,1.041688317779505
rld,1,20230502-20-41-23,240s,end,240,1199.975058436394,239.99501168727886,1500,250,1.041688317779505
rld,1,20230502-20-41-23,480s,start,480,0.0,480.95000342130663,1500,501,1.041688317779505
rld,1,20230502-20-41-23,480s,middle,480,479.9900233745575,480.95000342130663,1500,501,1.041688317779505
rld,1,20230502-20-41-23,480s,end,480,959.980046749115,479.99002337455784,1500,500,1.041688317779505
rld,1,20230502-20-41-23,900s,start,900,0.0,900.4612838506699,1500,938,1.041688317779505
rld,1,20230502-20-41-23,900s,middle,900,270.7143731832504,899.5013038039209,1500,937,1.041688317779505
rld,1,20230502-20-41-23,900s,end,900,540.4687663197518,899.501303803921,1500,937,1.041688317779505
rld,1,20230502-20-41-23,full,full,,0.0,1439.970070123673,1500,1500,1.041688317779505
rld,1,20230604-17-09-01,15s,start,15,0.0,15.359721092224081,1500,16,1.0416855816542585
rld,1,20230604-17-09-01,15s,middle,15,713.2670482201576,14.399738523960082,1500,15,1.0416855816542585
rld,1,20230604-17-09-01,15s,end,15,1425.5741138720512,14.399738523959968,1500,15,1.0416855816542585
rld,1,20230604-17-09-01,30s,start,30,0.0,30.7194421844482,1500,32,1.0416855816542585
rld,1,20230604-17-09-01,30s,middle,30,705.5871876740456,29.75945961618413,1500,31,1.0416855816542585
rld,1,20230604-17-09-01,30s,end,30,1410.214392779827,29.75945961618413,1500,31,1.0416855816542585
rld,1,20230604-17-09-01,60s,start,60,0.0,60.47890180063243,1500,63,1.0416855816542585
rld,1,20230604-17-09-01,60s,middle,60,690.2274665818214,60.47890180063246,1500,63,1.0416855816542585
rld,1,20230604-17-09-01,60s,end,60,1380.4549331636429,59.51891923236826,1500,62,1.0416855816542585
rld,1,20230604-17-09-01,120s,start,120,0.0,120.9578036012649,1500,126,1.0416855816542585
rld,1,20230604-17-09-01,120s,middle,120,660.4680069656372,119.99782103300095,1500,125,1.0416855816542585
rld,1,20230604-17-09-01,120s,end,120,1319.9760313630104,119.99782103300072,1500,125,1.0416855816542585
rld,1,20230604-17-09-01,240s,start,240,0.0,240.95562463426586,1500,251,1.0416855816542585
rld,1,20230604-17-09-01,240s,middle,240,599.9891051650047,240.95562463426586,1500,251,1.0416855816542585
rld,1,20230604-17-09-01,240s,end,240,1199.9782103300095,239.99564206600166,1500,250,1.0416855816542585
rld,1,20230604-17-09-01,480s,start,480,0.0,480.9512667002677,1500,501,1.0416855816542585
rld,1,20230604-17-09-01,480s,middle,480,479.9912841320037,480.9512667002678,1500,501,1.0416855816542585
rld,1,20230604-17-09-01,480s,end,480,959.9825682640076,479.99128413200356,1500,500,1.0416855816542585
rld,1,20230604-17-09-01,900s,start,900,0.0,900.4636490316391,1500,938,1.0416855816542585
rld,1,20230604-17-09-01,900s,middle,900,270.7150842504501,899.503666463375,1500,937,1.0416855816542585
rld,1,20230604-17-09-01,900s,end,900,540.4701859326362,899.5036664633749,1500,937,1.0416855816542585
rld,1,20230604-17-09-01,full,full,,0.0,1439.9738523960111,1500,1500,1.0416855816542585
rld,1,20230903-16-32-28,15s,start,15,0.0,15.35963927459714,1500,16,1.0416911304982526
rld,1,20230903-16-32-28,15s,middle,15,713.2632488141061,14.39966181993475,1500,15,1.0416911304982526
rld,1,20230903-16-32-28,15s,end,15,1425.5665201735496,14.399661819934863,1500,15,1.0416911304982526
