candidate_identity,candidate_similarity,is_spatial_hard,mode,query_identity,same_minus_candidate,same_similarity
IL2VL,0.054323976332380446,False,Geometry,VB02,-0.10757907847862577,-0.05325510214624533
IL1R,0.09373169758798537,False,Geometry,VB02,-0.1469867997342307,-0.05325510214624533
OLLL,0.0991486726711222,False,Geometry,VB02,-0.15240377481736753,-0.05325510214624533
IL2L,0.09204161426294001,False,Geometry,VB02,-0.14529671640918534,-0.05325510214624533
URBR,0.1100308886909593,False,Geometry,VB02,-0.16328599083720463,-0.05325510214624533
OLLR,0.11917200932754285,False,Geometry,VB02,-0.17242711147378817,-0.05325510214624533
IL1DL,0.11884224208362322,False,Geometry,VB02,-0.17209734422986855,-0.05325510214624533
IL1DR,0.12929137427290965,False,Geometry,VB02,-0.18254647641915497,-0.05325510214624533
URYVR,0.10698134695965526,False,Geometry,VB02,-0.1602364491059006,-0.05325510214624533
IL2R,0.1031948378046881,False,Geometry,VB02,-0.15644993995093343,-0.05325510214624533
URYDL,0.12239345446621959,False,Geometry,VB02,-0.17564855661246492,-0.05325510214624533
IL1L,0.1014227067127185,False,Geometry,VB02,-0.15467780885896382,-0.05325510214624533
URBL,0.11985214425857907,False,Geometry,VB02,-0.1731072464048244,-0.05325510214624533
OLQDR,0.15771989686921548,False,Geometry,VB02,-0.2109749990154608,-0.05325510214624533
OLQDL,0.1534552018305451,False,Geometry,VB02,-0.2067103039767904,-0.05325510214624533
RMER,0.14786426085097884,False,Geometry,VB02,-0.20111936299722416,-0.05325510214624533
OLQVR,0.13443989705502776,False,Geometry,VB02,-0.18769499920127308,-0.05325510214624533
URYVL,0.12133425417395254,False,Geometry,VB02,-0.17458935632019787,-0.05325510214624533
RMED,0.18513448326492088,False,Geometry,VB02,-0.2383895854111662,-0.05325510214624533
RMEL,0.15551374982994637,False,Geometry,VB02,-0.2087688519761917,-0.05325510214624533
CEPVR,0.14989821678718881,False,Geometry,VB02,-0.20315331893343413,-0.05325510214624533
OLQVL,0.1492651465308973,False,Geometry,VB02,-0.20252024867714263,-0.05325510214624533
CEPVL,0.16300732288393385,False,Geometry,VB02,-0.21626242503017917,-0.05325510214624533
SAAVR,0.19707074745946432,False,Geometry,VB02,-0.25032584960570964,-0.05325510214624533
RID,0.20868950245020518,False,Geometry,VB02,-0.2619446045964505,-0.05325510214624533
SMDVR,0.2043344594347645,False,Geometry,VB02,-0.2575895615810098,-0.05325510214624533
URXR,0.20771798458169036,False,Geometry,VB02,-0.2609730867279357,-0.05325510214624533
RIAR,0.20367569570891414,False,Geometry,VB02,-0.2569307978551595,-0.05325510214624533
AVAR,0.19599692381128375,False,Geometry,VB02,-0.24925202595752907,-0.05325510214624533
SAAVL,0.19657060526487252,False,Geometry,VB02,-0.24982570741111784,-0.05325510214624533
CEPDR,0.20930954157563444,False,Geometry,VB02,-0.26256464372187976,-0.05325510214624533
URXL,0.20733478233293853,False,Geometry,VB02,-0.26058988447918385,-0.05325510214624533
CEPDL,0.20602636678244002,False,Geometry,VB02,-0.25928146892868537,-0.05325510214624533
SMDDR,0.16188699415426658,False,Geometry,VB02,-0.2151420963005119,-0.05325510214624533
RMEV,0.1681635962884706,False,Geometry,VB02,-0.22141869843471593,-0.05325510214624533
RIAL,0.19819998913476725,False,Geometry,VB02,-0.25145509128101257,-0.05325510214624533
AVER,0.19073038453846672,False,Geometry,VB02,-0.24398548668471204,-0.05325510214624533
