candidate_identity,mode,n_common_anchors,query_identity,query_record,reference_record,similarity
RMER,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.31401266915231124
OLQVR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.31070082535156823
URYVL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.3125997657762357
RMED,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.2845918040433382
RMEL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.2842000586780073
CEPVR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.2750840907105588
OLQVL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.27546159342229515
CEPVL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.22539705948861502
SAAVR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.21149719775826703
RID,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.20559615528121034
SMDVR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.17439671573568244
URXR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.16976420233654343
RIAR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.17137584135899633
AVAR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.1675445737580031
SAAVL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.18195373644097815
CEPDR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.15724701576589184
URXL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.1602538611701092
CEPDL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.14395294418974752
SMDDR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.12636567610690044
RMEV,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.1266980924277082
RIAL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.13437790744726644
AVER,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.11127699260125766
AWAR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.0777033602136214
SMDVL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.08949429374098099
AVAL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.07814841278441176
RMDL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.041827644426515286
AIBR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.031908053289296044
ASGR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,0.01336884629200413
AVL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.02894503937938837
AVEL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.007461915685109532
ASGL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.030161746076093943
ASHL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.05545341272919429
AIBL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.06089686867065088
AVHL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.08374022289417288
AWBL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.094459617486938
RIVL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.07739088362870634
AWCL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.10862828858974348
SMDDL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.14356882732235646
AVJR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.10872842376810737
AIZL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.11475027693622188
RIBL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.14279179963751748
ASEL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.1405699866895238
AVDR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.1279402040764714
AVDL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.14857272221863477
AVJL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.13143755422018374
RIVR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.15296219026388075
AIZR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.17585700127459375
AUAR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.24495070113998962
AUAL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.2273782555898437
RICR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.21750433326271354
RICL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.27710029717222784
M5,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.29851764126327013
AIML,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.917217670960673
AIMR,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.3518729209849197
FLPL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.34593782915872634
ADEL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.34093012724878646
VB02,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.3747073949794763
ADAL,Geometry,82,I2R,2022-08-02-01,2022-06-14-13,-0.34352554280492303
I1R,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.33093447952653127
IL2DL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3498512946570827
I2R,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3332288790999767
I3,Geometry,83,I3,2022-08-02-01,2022-06-14-13,0.3490359049656048
NSMR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3358272727475848
I2L,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3311551106871644
MCL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.334081199515864
NSML,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3333285156178185
M4,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3512367700304518
M3R,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34390805944288977
M3L,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34018694235088803
IL2VL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3359038565304549
IL1R,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3461770429318569
OLLL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34583149687115544
IL2L,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34285169190569775
URBR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34255764064015337
OLLR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34361492303835345
IL1DL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34552316352092294
IL1DR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3424566608296256
URYVR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.33462506968268935
