identity,same_similarity,hard_similarity,activity_relation_margin,median_margin,n_animal_pairs,support_animals,n_paired_queries,accuracy_full,accuracy_wo_activity,accuracy_gain_pp
CEPDR,0.3965413464474597,0.15923888785304308,0.2373024585944165,0.22497540072861533,992,32,32,0.71875,0.59375,12.5
CEPVL,0.21705755615704686,0.12510602397337306,0.09195153218367376,0.12031468514833032,1056,33,33,0.696969696969697,0.45454545454545453,24.24242424242425
CEPVR,0.2243336992093808,0.12050847549367505,0.1038252237157057,0.11807688814668445,756,28,28,0.6071428571428571,0.42857142857142855,17.857142857142854
FLPL,0.3860425544277541,0.11306906725477067,0.27297348717298336,0.2929097650767037,1056,33,33,0.5757575757575758,0.30303030303030304,27.272727272727277
FLPR,0.38757689975313775,0.04312567755829203,0.3444512221948457,0.3486885450310945,210,15,15,0.6666666666666666,0.4,26.66666666666666
I1L,0.5170519198924122,0.2607589843694079,0.2562929355230041,0.2528757571130086,1122,34,34,0.8823529411764706,0.9117647058823529,-2.941176470588236
I1R,0.4979535033008145,0.24122797998231424,0.25672552331850024,0.27182804004459915,812,29,29,0.8620689655172413,0.896551724137931,-3.4482758620689724
I2L,0.2174512968233804,0.05359403845111687,0.16385725837226353,0.18306130697585327,1332,37,37,0.8918918918918919,0.5945945945945946,29.729729729729726
I2R,0.2815274132541441,0.08582940363588044,0.1956980096182637,0.1988864972342857,870,30,30,0.9333333333333333,0.7333333333333333,20.000000000000007
I3,0.4388293540681662,-0.3348365404794765,0.7736658945476427,0.7958851168588043,1332,37,37,0.972972972972973,0.5675675675675675,40.54054054054055
I4,0.4933984714257565,0.02606777251158439,0.4673306989141722,0.4796127504289746,72,9,9,0.5555555555555556,0.3333333333333333,22.222222222222225
I5,0.2854160603044166,0.1504827245660351,0.13493333573838148,0.03963993149084837,6,3,1,0.0,0.0,0.0
I6,0.065879406202926,0.05166156466463647,0.014217841538289524,0.06649695343064099,132,12,12,0.25,0.08333333333333333,16.666666666666668
IL1DL,0.41661617607640455,0.2755512220861069,0.14106495399029767,0.16584208585615387,756,28,28,0.7857142857142857,0.39285714285714285,39.285714285714285
IL1DR,0.4835863629913505,0.24984951693939705,0.2337368460519534,0.21937810351228704,1056,33,33,0.8484848484848485,0.5454545454545454,30.303030303030308
IL1L,0.4353014779427888,0.1633611929371005,0.2719402850056883,0.2712209617111689,992,32,32,0.84375,0.3125,53.125
IL1R,0.5187800296913126,0.1095274106012166,0.40925261909009614,0.3923422168543464,930,31,31,0.8064516129032258,0.3870967741935484,41.93548387096774
IL1VL,0.3709399719745129,0.10378966532704896,0.26715030664746403,0.2625421501605118,306,18,18,0.6111111111111112,0.1111111111111111,50.0
IL1VR,0.4492955627124303,0.14988410184812118,0.29941146086430914,0.296992008282158,506,23,23,0.8260869565217391,0.30434782608695654,52.17391304347826
IL2DL,0.4106874005966886,0.11147626074027207,0.29921113985641656,0.3230092924746795,1260,36,36,0.8611111111111112,0.3888888888888889,47.22222222222223
IL2DR,0.3702223811731837,0.13903699204090844,0.2311853891322753,0.2684352568021273,756,28,28,0.8214285714285714,0.6428571428571429,17.85714285714285
IL2L,0.3349968907264916,0.18350017748555145,0.15149671324094022,0.1548083456132553,756,28,28,0.7142857142857143,0.5357142857142857,17.85714285714286
IL2R,0.31939257217509043,0.12151239444561493,0.19788017772947555,0.2164472899212943,552,24,24,0.5416666666666666,0.6666666666666666,-12.5
IL2VL,0.3751287822573189,0.2134471033130711,0.1616816789442478,0.1796972750984872,702,27,27,0.9629629629629629,0.7037037037037037,25.92592592592592
IL2VR,0.2695115199366022,0.17943558970831666,0.09007593022828557,0.08398375821834961,812,29,28,0.9642857142857143,0.75,21.42857142857143
M1,0.3073221929928946,-0.025965580628580242,0.3332877736214749,0.376697653343549,342,19,19,0.8947368421052632,0.8421052631578947,5.263157894736848
M3L,0.3859310688792893,0.21453390462934244,0.17139716424994686,0.16670550333983278,1406,38,38,0.7368421052631579,0.7894736842105263,-5.263157894736848
M3R,0.3770288370429327,0.1615596001200045,0.21546923692292827,0.22776638828191836,1190,35,35,0.8285714285714286,0.7428571428571429,8.571428571428575
M4,0.3483728900482709,0.04233721573999662,0.3060356743082743,0.33191908472517795,756,28,28,0.9285714285714286,0.8214285714285714,10.71428571428572
M5,0.06977443993878284,0.06038523521525555,0.009389204723527287,0.037960121933759784,506,23,23,0.782608695652174,0.8695652173913043,-8.695652173913038
